<s>[INST] Note that consistency means all information in the summary is supported by the article. 
    It's known that the following summary is not consistent with the article. 
    Find out why.

    Summary: 
    the elkridge-harford hunt club have roots dating back to 1878. the club has managed to protect a pastime that requires vast open space. there are nearly 160 organized foxhunting clubs in the u.s. and canada. the american hunt is a chase - the intent is not to. horses carrying riders in red and black coats follow from ways behind. 

    Article: 
    A hound's howl breaks through the cold rainfall. Dozens more hounds emerge from a stand of trees and bound across a field in search of a fox's scent. Horses carrying riders in red and black coats follow from a ways behind, quickly disappearing again over a hillcrest, minutes away from Baltimore's growing suburbs. The Elkridge-Harford Hunt Club has roots dating back to 1878, but records show organized foxhunts took place in Maryland as early as the 1790s. In order to preserve a pastime that requires vast open space in the midst of one of the world's densest regions, the club has managed to protect a patchwork of land that is larger than Manhattan. According to the website of the Masters of Foxhounds Association of America, there are nearly 160 organized foxhunting clubs in the U.S. and Canada. And while the sport's ban in Britain over animal welfare concerns 10 years ago is still debated, the American hunt is a chase - the intent is not to kill a fox. In many places red foxes are a rarity in the US so the hounds chase coyotes - a distant cousin of the fox - instead. But from dress to decorum, many of the traditions remain unaltered from its inception. On the hunt: Hounds wander in a field as huntsman Geoff Hyde, top center, and members of the Elkridge-Harford Hunt Club prepare for a fox hunt to begin in Monkton, Maryland, in January . Trek: Members of the Elkridge-Harford Hunt Club follow a path during a hunt. In order to protect a pastime that requires vast open space in the midst of one of the world's densest regions, the club has managed to secure a patchwork of land that is larger than Manhattan . Trophy: A stuffed fox is displayed on a shelf in the Elkridge-Harford Hunt Club clubhouse in Monkton, Md. The club has roots dating back to 1878, but records show organized foxhunts took place in Maryland as early as the 1790s . Getting ready: Huntsman Geoff Hyde leads a group of hounds out of their kennel at the Elkridge-Harford Hunt Club as they head out for a fox hunt . Animal companion: A member  of the Elkridge-Harford Hunt Club holds the reins of his horse after a January 3 fox hunt in Monkton . Dress to impress: A member of the Elkridge-Harford Hunt Club puts on boots in this December  photograph as he prepares for a fox hunt . Lead the way! A a member of the Elkridge-Harford Hunt Club leads his horse out of a barn for a December 14 2014 fox hunt. The American hunt is a chase - the intent is not to kill a fox . Where is it? A hunting club member rides a horse through a stand of trees during a November fox hunt in Maryland . Remembered: Hunters from years past are seen in photographs on a wall inside the Elkridge-Harford Hunt Club's clubhouse . Trek: A hunting club member is seen through trees during a fox hunt . Clear the path: A hunting party comprised of Elkridge-Harford Hunt Club fembers makes its way around car traffic during a fox hunt in Monkton . It's all in the details: The Elkridge-Harford Hunt Club's logo - complete with a fox face - adorns buttons on a jacket . Come on in! A man  walks past a fox-shaped doorknocker at the entrance of the clubhouse during a tea party following a hunt . Celebration: Elkridge-Harford Hunt Club president Jay Young, second from right, talks with members at a tea party in the clubhouse after a hunt . 

    Explain your reasoning step by step:[/INST]
     Sure, I'd be happy to help! Here's why the summary is not consistent with the article:

1. The summary states that the Elkridge-Harford Hunt Club has roots dating back to 1878, but the article states that the club has roots dating back to 1790s.

2. The summary mentions that the club has managed to protect a pastime that requires vast open space, but the article does not mention this.

3. The summary states that the American hunt is a chase, but the article does not mention this. Instead, it states that the intent is not to kill a fox.

4. The summary mentions that the hounds chase coyotes instead of foxes, but the article does not mention this.

5. The summary states that the club has managed to secure a patchwork of land that is larger than Manhattan, but the article does not mention this.

6. The summary mentions a stuffed fox displayed on a shelf in the clubhouse, but the article does not mention this.

7. The summary mentions huntsman Geoff Hyde leading a group of hounds out of their kennel, but the article does not mention this.

8. The summary mentions a member of the club holding the reins of his horse after a hunt, but the article does not mention this.

9. The summary mentions dressing to impress, but the article does not mention this.

10. The summary mentions a hunting party comprised of club members making their way around car traffic during a hunt, but the article does not mention this.

11. The summary mentions the Elkridge-Harford Hunt Club's logo adorns buttons on a jacket, but the article does not mention this.

12. The summary mentions a man walking past a fox-shaped doorknocker at the entrance of the clubhouse during a tea party, but the article does not mention this.

13. The summary mentions Elkridge-Harford Hunt Club president Jay Young talking with members at a tea party in the clubhouse after a hunt, but the article does not mention this.

Based on these differences, it is clear that the summary is not consistent with the article.

###Corrected:
